Index,Time,Motor.Angle,pida.setpoint,Aref2
0,0.000000,0,0,0
1,0.017471,0.00156083121,6.28318501,-3.18666887
2,0.027490,0.0158880036,6.28318501,-3.02800632
3,0.037488,0.0418471061,6.28318501,-2.86177015
4,0.047485,0.0766027719,6.28318501,-2.68839121
5,0.057489,0.117999971,6.28318501,-2.50828743
6,0.067483,0.164411604,6.28318501,-2.32191467
7,0.077491,0.214479104,6.28318501,-2.12973404
8,0.087486,0.267208815,6.28318501,-1.93223548
9,0.097489,0.321899444,6.28318501,-1.72990274
10,0.107604,0.377904326,6.28318501,-1.52325559
11,0.117604,0.434826076,6.28318501,-1.31279504
12,0.127604,0.492266923,6.28318501,-1.09905279
13,0.137475,0.549975872,6.28318501,-0.882564306
14,0.147485,0.607800066,6.28318501,-0.663864851
15,0.157484,0.665529907,6.28318501,-0.443508148
16,0.167489,0.723013639,6.28318501,-0.222051859
17,0.177490,0.780223846,6.28318501,-3.31711672e-05
18,0.187473,0.837143898,6.28318501,0.221985072
19,0.197484,0.893626332,6.28318501,0.443447411
20,0.207485,0.949664176,6.28318501,0.663808167
21,0.217486,1.00520205,6.28318501,0.882498264
22,0.227489,1.06025064,6.28318501,1.09899235
23,0.237490,1.11479366,6.28318501,1.31273198
24,0.247491,1.16882181,6.28318501,1.52319336
25,0.257490,1.22230136,6.28318501,1.72985065
26,0.267489,1.27527416,6.28318501,1.93217921
27,0.277483,1.3277235,6.28318501,2.12968493
28,0.287490,1.37963474,6.28318501,2.32185888
29,0.297484,1.43100715,6.28318501,2.50823355
30,0.307484,1.48186195,6.28318501,2.68833923
31,0.317491,1.53219652,6.28318501,2.86172557
32,0.327530,1.58197165,6.28318501,3.02795863
33,0.337608,1.6312592,6.28318501,3.18662405
34,0.347485,1.68003929,6.28318501,3.33732772
35,0.357485,1.72831821,6.28318501,3.47968245
36,0.367484,1.77609742,6.28318501,3.61334491
37,0.377484,1.82336521,6.28318501,3.73797297
38,0.387484,1.87012887,6.28318501,3.85326266
39,0.397491,1.91643977,6.28318501,3.95891786
40,0.407484,1.96218836,6.28318501,4.0546751
41,0.417490,2.00753236,6.28318501,4.1403017
42,0.427490,2.05238104,6.28318501,4.21557808
43,0.437491,2.09674501,6.28318501,4.28031826
44,0.447469,2.14066362,6.28318501,4.33436155
45,0.457475,2.18412352,6.28318501,4.3775692
46,0.467485,2.22713399,6.28318501,4.40983486
47,0.477485,2.26967716,6.28318501,4.43107891
48,0.487490,2.31181574,6.28318501,4.44124699
49,0.497491,2.35349298,6.28318501,4.44031477
50,0.507491,2.3947289,6.28318501,4.42828369
51,0.517489,2.43550634,6.28318501,4.40518427
52,0.527491,2.47587729,6.28318501,4.37107468
53,0.537490,2.51583195,6.28318501,4.32603979
54,0.547485,2.55537891,6.28318501,4.2701931
55,0.557485,2.59450197,6.28318501,4.20367193
56,0.567702,2.63319087,6.28318501,4.12664175
57,0.577483,2.67151403,6.28318501,4.03930187
58,0.587483,2.70942259,6.28318501,3.9418633
59,0.597470,2.74691153,6.28318501,3.83457279
60,0.607490,2.78402638,6.28318501,3.71769428
61,0.617485,2.82074714,6.28318501,3.59153008
62,0.627484,2.85707664,6.28318501,3.45638347
63,0.637489,2.89304519,6.28318501,3.31259942
64,0.647489,2.92861915,6.28318501,3.16053724
65,0.657484,2.96382332,6.28318501,3.00057387
66,0.667490,2.99869204,6.28318501,2.83310986
67,0.677485,3.03312993,6.28318501,2.65856194
68,0.687473,3.06722975,6.28318501,2.47737217
69,0.697473,3.10100651,6.28318501,2.28999329
70,0.707490,3.1344142,6.28318501,2.09688497
71,0.717490,3.16747499,6.28318501,1.89854026
72,0.727491,3.20019507,6.28318501,1.69544923
73,0.737485,3.2325902,6.28318501,1.48812056
74,0.747616,3.2646234,6.28318501,1.2770704
75,0.757474,3.29632735,6.28318501,1.06282401
76,0.767489,3.32767987,6.28318501,0.845933557
77,0.777483,3.35871649,6.28318501,0.626918375
78,0.787490,3.38944101,6.28318501,0.406336129
79,0.797486,3.41984439,6.28318501,0.18474564
80,0.807485,3.44988632,6.28318501,-0.0373065844
81,0.817485,3.47963786,6.28318501,-0.259270847
82,0.827489,3.50909781,6.28318501,-0.480591297
83,0.837491,3.53825188,6.28318501,-0.700697899
84,0.847489,3.56707287,6.28318501,-0.919061542
85,0.857489,3.59559917,6.28318501,-1.13512802
86,0.867490,3.62382102,6.28318501,-1.34835112
87,0.877486,3.65176654,6.28318501,-1.55820823
88,0.887485,3.67941213,6.28318501,-1.76417255
89,0.897484,3.70676517,6.28318501,-1.96572554
90,0.907490,3.73381591,6.28318501,-2.16236711
91,0.917489,3.76062441,6.28318501,-2.35360193
92,0.927484,3.78713632,6.28318501,-2.53895426
93,0.937483,3.81334066,6.28318501,-2.71796703
94,0.947471,3.83929825,6.28318501,-2.89017963
95,0.957486,3.86498809,6.28318501,-3.05516529
96,0.967491,3.89042211,6.28318501,-3.2125237
97,0.977489,3.9155767,6.28318501,-3.36184216
98,0.987484,3.94043994,6.28318501,-3.50276637
99,0.997484,3.96505117,6.28318501,-3.63492894
100,1.007490,3.98941898,6.28318501,-3.75801206
101,1.017490,4.0135355,6.28318501,-3.87169766
102,1.027485,4.03738451,6.28318501,-3.97570634
103,1.037485,4.06099224,6.28318501,-4.06977797
104,1.047490,4.08433914,6.28318501,-4.15367794
105,1.057483,4.10748339,6.28318501,-4.22719812
106,1.067490,4.13039827,6.28318501,-4.29015255
107,1.077485,4.15304422,6.28318501,-4.342381
108,1.087487,4.1754179,6.28318501,-4.38375807
109,1.097475,4.1975646,6.28318501,-4.41417646
110,1.107489,4.21947908,6.28318501,-4.43356228
111,1.117488,4.2411828,6.28318501,-4.44186687
112,1.127484,4.26266146,6.28318501,-4.43906832
113,1.137490,4.28391504,6.28318501,-4.42517471
114,1.147485,4.30495548,6.28318501,-4.40022039
115,1.157485,4.32575989,6.28318501,-4.36426926
116,1.167490,4.34633446,6.28318501,-4.31740952
117,1.177490,4.36671925,6.28318501,-4.25975657
118,1.187470,4.38687372,6.28318501,-4.19145966
119,1.197470,4.40682077,6.28318501,-4.1126852
120,1.207486,4.42655945,6.28318501,-4.02363014
121,1.217483,4.44611168,6.28318501,-3.92451787
122,1.227490,4.46541309,6.28318501,-3.81559873
123,1.237489,4.4845438,6.28318501,-3.69714141
124,1.247488,4.50346279,6.28318501,-3.56944346
125,1.257491,4.52219868,6.28318501,-3.43282366
126,1.267486,4.54073668,6.28318501,-3.28762531
127,1.277485,4.55907822,6.28318501,-3.13420677
128,1.287484,4.5772233,6.28318501,-2.97294974
129,1.297485,4.59519529,6.28318501,-2.80427098
130,1.307486,4.61296511,6.28318501,-2.62857676
131,1.317491,4.63055038,6.28318501,-2.44631743
132,1.327475,4.64795637,6.28318501,-2.25793481
133,1.337488,4.66517544,6.28318501,-2.06392097
134,1.347489,4.68223429,6.28318501,-1.86474335
135,1.357491,4.69907427,6.28318501,-1.66090083
136,1.367485,4.71575069,6.28318501,-1.45290875
137,1.377483,4.73226213,6.28318501,-1.24128318
138,1.387490,4.74859953,6.28318501,-1.02656519
139,1.397485,4.76476955,6.28318501,-0.809271157
140,1.407485,4.78077221,6.28318501,-0.58995223
141,1.417489,4.79660463,6.28318501,-0.369171262
142,1.427489,4.81223869,6.28318501,-0.147457078
143,1.437491,4.82776403,6.28318501,0.0746299401
144,1.447607,4.84314966,6.28318501,0.29652828
145,1.457490,4.8583684,6.28318501,0.517672837
146,1.467486,4.87339592,6.28318501,0.737533987
147,1.477490,4.88820839,6.28318501,0.955541253
148,1.487490,4.9028964,6.28318501,1.17116857
149,1.497490,4.91742611,6.28318501,1.38387048
150,1.507485,4.9318018,6.28318501,1.59310949
151,1.517484,4.94603109,6.28318501,1.79836845
152,1.527498,4.96011925,6.28318501,1.9991287
153,1.537490,4.9740653,6.28318501,2.19489598
154,1.547484,4.98786402,6.28318501,2.38517714
155,1.557490,5.00152016,6.28318501,2.56949306
156,1.567483,5.01503181,6.28318501,2.7473917
157,1.577489,5.02838612,6.28318501,2.91842318
158,1.587490,5.04162979,6.28318501,3.0821538
159,1.597490,5.05473042,6.28318501,3.23818827
160,1.607490,5.06769609,6.28318501,3.38612032
161,1.617485,5.08052683,6.28318501,3.52559352
162,1.627484,5.0932126,6.28318501,3.6562531
163,1.637485,5.10575914,6.28318501,3.77777672
164,1.647484,5.11818933,6.28318501,3.88985372
165,1.657490,5.13047791,6.28318501,3.9922142
166,1.667486,5.14265585,6.28318501,4.08459234
167,1.677489,5.15470123,6.28318501,4.16676331
168,1.687476,5.16659641,6.28318501,4.23851776
169,1.697490,5.17841768,6.28318501,4.29968214
170,1.707485,5.19004679,6.28318501,4.35009575
171,1.717485,5.20156479,6.28318501,4.38963652
172,1.727490,5.21296692,6.28318501,4.41820621
173,1.737485,5.22424698,6.28318501,4.43573284
174,1.747485,5.23549366,6.28318501,4.44217253
175,1.757487,5.24656248,6.28318501,4.43750906
176,1.767475,5.25752783,6.28318501,4.42175436
177,1.777490,5.2683568,6.28318501,4.39494753
178,1.787485,5.27909279,6.28318501,4.35715485
179,1.797491,5.289711,6.28318501,4.30847263
180,1.807490,5.30022192,6.28318501,4.24902201
181,1.817490,5.31060886,6.28318501,4.17895031
182,1.827484,5.32087994,6.28318501,4.09843111
183,1.837485,5.3310523,6.28318501,4.00767326
184,1.847490,5.34111834,6.28318501,3.90689492
185,1.857491,5.35108662,6.28318501,3.79635572
186,1.867490,5.36093998,6.28318501,3.67632127
187,1.877490,5.37068558,6.28318501,3.54710245
188,1.887483,5.38034296,6.28318501,3.40901256
189,1.897484,5.38990831,6.28318501,3.2624073
190,1.907485,5.39936543,6.28318501,3.1076417
191,1.917489,5.40869904,6.28318501,2.94511795
192,1.927485,5.41795588,6.28318501,2.77522039
193,1.937474,5.42709827,6.28318501,2.59839916
194,1.947483,5.43616343,6.28318501,2.41507316
195,1.957490,5.44512653,6.28318501,2.22572136
196,1.967483,5.45399857,6.28318501,2.03079176
197,1.977483,5.46278429,6.28318501,1.83079755
198,1.987640,5.47147322,6.28318501,1.62622333
199,1.997486,5.48007727,6.28318501,1.41758847
200,2.007491,5.48858452,6.28318501,1.20541036
201,2.017485,5.49699736,6.28318501,0.990211308
202,2.027483,5.50532722,6.28318501,0.772541225
203,2.037490,5.51356888,6.28318501,0.552931845
204,2.047490,5.52171516,6.28318501,0.331936032
205,2.057485,5.5298028,6.28318501,0.110131629
206,2.067490,5.53775406,6.28318501,-0.111973427
207,2.077489,5.54567671,6.28318501,-0.333785892
208,2.087489,5.55352116,6.28318501,-0.554755628
209,2.097490,5.56120157,6.28318501,-0.774347126
210,2.107486,5.56882,6.28318501,-0.991986573
211,2.117490,5.5763588,6.28318501,-1.20715904
212,2.127490,5.58391666,6.28318501,-1.41931832
213,2.137491,5.59137869,6.28318501,-1.62792981
214,2.147484,5.59871578,6.28318501,-1.83247209
215,2.157485,5.60597849,6.28318501,-2.0324378
216,2.167490,5.61317015,6.28318501,-2.22731209
217,2.177491,5.62028694,6.28318501,-2.41662979
218,2.187476,5.62730837,6.28318501,-2.59990025
219,2.197470,5.63426256,6.28318501,-2.77667522
220,2.207491,5.64114809,6.28318501,-2.9465065
221,2.217484,5.64797926,6.28318501,-3.10897923
222,2.227490,5.65472841,6.28318501,-3.26368022
223,2.237490,5.66140699,6.28318501,-3.41022062
224,2.247486,5.66800547,6.28318501,-3.54823661
225,2.257490,5.67453623,6.28318501,-3.67738605
226,2.267483,5.68101549,6.28318501,-3.79734063
227,2.277484,5.68740225,6.28318501,-3.90780163
228,2.287491,5.69372559,6.28318501,-4.00849533
229,2.297484,5.70001221,6.28318501,-4.09916782
230,2.307485,5.7062149,6.28318501,-4.17959738
231,2.317490,5.71234846,6.28318501,-4.24958038
232,2.327489,5.71842718,6.28318501,-4.30894184
233,2.337484,5.72444725,6.28318501,-4.35753059
234,2.347484,5.73038054,6.28318501,-4.39522839
235,2.357484,5.73627043,6.28318501,-4.4219389
236,2.367485,5.74211121,6.28318501,-4.43759775
237,2.377486,5.74784231,6.28318501,-4.44216442
238,2.387490,5.75352716,6.28318501,-4.43562841
239,2.397491,5.75920343,6.28318501,-4.41800499
240,2.407487,5.76479578,6.28318501,-4.38933945
241,2.417484,5.77030849,6.28318501,-4.34970236
242,2.427487,5.77578306,6.28318501,-4.29919291
243,2.437487,5.78119802,6.28318501,-4.23793697
244,2.447473,5.78653288,6.28318501,-4.16609335
245,2.457471,5.79184103,6.28318501,-4.08383131
246,2.467484,5.79708672,6.28318501,-3.99136114
247,2.477485,5.80227137,6.28318501,-3.88891244
248,2.487484,5.80739927,6.28318501,-3.77674913
249,2.497485,5.81247663,6.28318501,-3.65514159
250,2.507490,5.81749344,6.28318501,-3.52439737
251,2.517484,5.82246208,6.28318501,-3.38484931
252,2.527489,5.82738018,6.28318501,-3.23682952
253,2.537490,5.83225536,6.28318501,-3.08072448
254,2.547490,5.83706427,6.28318501,-2.91691875
255,2.557490,5.84182787,6.28318501,-2.74581885
256,2.567484,5.84654093,6.28318501,-2.56786203
257,2.577490,5.85122442,6.28318501,-2.38349032
258,2.587485,5.85584307,6.28318501,-2.19314289
259,2.597484,5.86041689,6.28318501,-1.99733567
260,2.607491,5.86493635,6.28318501,-1.79652476
261,2.617483,5.86939621,6.28318501,-1.59122336
262,2.627485,5.87381268,6.28318501,-1.38194454
263,2.637491,5.87820816,6.28318501,-1.16921961
264,2.647488,5.88254499,6.28318501,-0.953572273
265,2.657475,5.88681412,6.28318501,-0.735529065
266,2.667484,5.89108896,6.28318501,-0.515664101
267,2.677483,5.89526701,6.28318501,-0.294484973
268,2.687480,5.89945269,6.28318501,-0.0725993216
269,2.697475,5.90352678,6.28318501,0.149480492
270,2.707485,5.90760899,6.28318501,0.37117821
271,2.717490,5.91167545,6.28318501,0.591956675
272,2.727486,5.91560841,6.28318501,0.811255515
273,2.737490,5.91952848,6.28318501,1.02853894
274,2.747489,5.92342615,6.28318501,1.24323511
275,2.757491,5.92729473,6.28318501,1.45482779
276,2.767490,5.93112612,6.28318501,1.66278028
277,2.777486,5.93491459,6.28318501,1.86659217
278,2.787491,5.93865204,6.28318501,2.06572294
279,2.797490,5.9423337,6.28318501,2.25970531
280,2.807484,5.94598675,6.28318501,2.44802117
